seq,latitude,longitude,latitude_utm,longitude_utm,option
1,37.2886091,127.1075177,332244.7396,4128568.287,0
2,37.2886171,127.1075166,332244.6598,4128569.177,0
3,37.28862541,127.1075152,332244.5542,4128570.101,0
4,37.28863341,127.1075122,332244.306,4128570.994,0
5,37.28864291,127.1075056,332243.742,4128572.06,0
6,37.28864943,127.1074961,332242.9143,4128572.8,0
7,37.28865892,127.1074873,332242.1552,4128573.869,0
8,37.28866841,127.1074785,332241.3962,4128574.938,0
9,37.28867553,127.1074697,332240.6318,4128575.743,0
10,37.28868116,127.107461,332239.8731,4128576.383,0
11,37.28868562,127.107454,332239.2624,4128576.89,0
12,37.28868946,127.1074456,332238.5263,4128577.332,0
13,37.28869362,127.1074383,332237.8884,4128577.806,0
14,37.28869659,127.1074298,332237.1414,4128578.151,0
15,37.28869955,127.1074203,332236.3058,4128578.496,0
16,37.28869836,127.1074112,332235.4964,4128578.38,0
17,37.28869599,127.1074057,332235.0036,4128578.127,8
18,37.28870667,127.107432,332237.3588,4128579.265,1
19,37.28870993,127.1074405,332238.1196,4128579.612,1
20,37.2887129,127.1074511,332239.0659,4128579.923,1
21,37.28871557,127.1074621,332240.047,4128580.199,1
22,37.28871616,127.1074719,332240.9171,4128580.247,1
23,37.28871704,127.1074837,332241.9652,4128580.324,1
24,37.28871685,127.1074959,332243.0418,4128580.281,1
25,37.28871436,127.1075098,332244.273,4128579.98,1
26,37.28871361,127.107512,332244.4664,4128579.893,1
27,37.28871295,127.1075141,332244.6511,4128579.816,1
28,37.28871228,127.1075161,332244.8269,4128579.738,1
29,37.28871161,127.1075182,332245.0116,4128579.66,1
30,37.28871166469322,127.10752019999995,332245.1871591193,4128579.663513805,9
31,37.2886992,127.1074636,332240.1436,4128578.38,0
32,37.28869761,127.1074518,332239.094,4128578.225,0
33,37.28869649,127.1074409,332238.1252,4128578.12,0
34,37.28869473,127.1074257,332236.7738,4128577.952,0
35,37.28869425,127.1074139,332235.7267,4128577.919,0
36,37.28869425,127.1073964,332234.1753,4128577.95,0
37,37.2886949,127.107383,332232.9888,4128578.046,0
38,37.28869489,127.1073735,332232.1466,4128578.062,0
39,37.28869633,127.1073563,332230.6249,4128578.252,0
40,37.28869857,127.1073451,332229.637,4128578.521,0
41,37.28870112,127.1073341,332228.6675,4128578.823,0
42,37.28870479,127.1073207,332227.4877,4128579.254,0
